ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio
124064,SAMANESA S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,LOS RIOS,36,1361830.39,404455.52,957374.8699999999,1139332.63,25294.27,13991.1,2024
32358,DELVERANO IMPORTACIONES DELVERAN CIA. LTDA.,G4630,G4630.91 - VENTA AL POR MAYOR DE ARROZ.,comercio_mayorista,FALSE,AZUAY,5,1361652.65,120263.94,1241388.71,293810.52,-15429.03,-15429.03,2024
737437,VEGGETA S.A.S.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,21,1360935.87,28877.38,1332058.4900000002,1034263.31,32367.4,24354.85,2024
97368,SAPRIET S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,EL ORO,169,1360413.89,63841.36,1296572.5299999998,2144984.55,29157.7,29157.7,2024
67263,TORBIERI S.A.,A0122,A0122.02 - CULTIVO DE MANGOS.,cultivo_fruticola,FALSE,GUAYAS,2,1346247.5,163286.74,1182960.76,214000,-1863.03,-2364.13,2024
164542,ROSAS DEL MANZANO ROSSMANZANO CIA. LTDA.,G4620,G4620.15 - VENTA AL POR MAYOR DE FLORES Y PLANTAS.,comercio_mayorista,FALSE,PICHINCHA,8,1343186.53,850467.62,492718.91000000003,1239146.88,8120.12,8120.12,2024
90809,VIDINTERNACIONAL S.A,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,PICHINCHA,2,1342808.96,739882.78,602926.1799999999,1160813.77,34909.84,18535.48,2024
749819,SERVICIOS AGRICOLAS RIOVERDE S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,LOS RIOS,6,1339449.13,-46521.68,1385970.8099999998,518921.2,0,-47321.68,2024
93360,OLEAGINOSAS DEL NORTE OLENSA S.A.,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,FALSE,ESMERALDAS,10,1328113.11,638508.02,689605.0900000001,173470.31,2837.98,2154.68,2024
1,ACEITES TROPICALES SOCIEDAD ANONIMA ATSA,A0126,A0126.01 - CULTIVO DE PALMAS DE ACEITE (PALMA AFRICANA).,cultivo_fruticola,FALSE,SANTO DOMINGO DE LOS TSACHILAS,9,1324395.03,1270375.22,54019.810000000056,230613.27,4407.38,716.67,2024
143660,COMERCIAL AGRICOLA PALNASA CIA. LTDA.,G4630,G4630.97 - VENTA AL POR MAYOR DE ALIMENTO PARA MASCOTAS (ANIMALES DOMÉSTICOS).,comercio_mayorista,FALSE,PICHINCHA,2,1322177.1,920967.14,401209.9600000001,479062.8,53132.36,32128.39,2024
733731,EXPORTADORA NEUES LEBEN S.A.S.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,23,1320077.23,283678.16,1036399.0700000001,7118204.97,31926.2,31926.2,2024
62012,PRODUCCION AVICOLA VARGAS TAPIA PROAVIVARTA S.A.,G4630,G4630.31 - VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS (INCLUIDAS LAS AVES DE CORRAL).,comercio_mayorista,FALSE,PICHINCHA,12,1318503.8,-1060620.36,2379124.16,5556083.89,2276.58,-5907.58,2024
344632,EXPORTADORES DEL PACIFICO EXPA S.A.S.,G4630,G4630.32 - VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.,comercio_mayorista,FALSE,GUAYAS,172,1317755.19,64975.18,1252780.01,19225270.68,33129.97,22026.46,2024
153159,BANCHISFOOD S.A.,C1030,"C1030.14 - FABRICACIÓN DE PRODUCTOS ALIMENTICIOS A PARTIR DE (UN SOLO COMPONENTE) FRUTAS, LEGUMBRES Y HORTALIZAS; INCLUSO SNACKS DE PLÁTANO (CHIFLES), YUCA, FRUTAS, ETCÉTERA, EXCEPTO PAPA.",procesamiento,FALSE,PICHINCHA,44,1312510.15,585246.74,727263.4099999999,2289305.98,100776.62,57870.06,2024
57493,CORPIMILIT S.A.,G4630,"G4630.21 - VENTA AL POR MAYOR DE PRODUCTOS LÁCTEOS, INCLUIDO HELADOS, BOLOS, ETCÉTERA.",comercio_mayorista,FALSE,GUAYAS,4,1311195.63,1311195.63,0,14000,0,252.03,2024
715424,EXPORTADORA HRG S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,EL ORO,4,1309248.61,607978.01,701270.6000000001,4054533.84,0,414424.98,2024
360411,AGRIPASNAR S.A.S.,A0127,A0127.02 - CULTIVO DE CACAO.,cultivo_fruticola,FALSE,GUAYAS,5,1307487.92,177185.92,1130302,10985330.78,229932.73,172185.92,2024
62143,"AGRICOLA ESPERANZA S.A., AGRIESPERSA",A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,59,1305831.19,444618.13,861213.0599999999,2251337.31,39618.13,39618.13,2024
330096,DISTRIGLOBAL S.A.,G4630,G4630.23 - VENTA AL POR MAYOR DE ACEITES Y GRASAS COMESTIBLES DE ORIGEN ANIMAL O VEGETAL.,comercio_mayorista,FALSE,GUAYAS,4,1303025.96,84838.08,1218187.88,2418165.72,0,24842.17,2024
168426,VALKATISA S.A.,G4630,G4630.31 - VENTA AL POR MAYOR DE CARNE Y PRODUCTOS CÁRNICOS (INCLUIDAS LAS AVES DE CORRAL).,comercio_mayorista,FALSE,GUAYAS,11,1300353.37,395472.99,904880.3800000001,10738959.51,30613.4,22010.05,2024
306498,AGRÍCOLA EXPORTADORA JCCOCOA S.A.,A0127,A0127.02 - CULTIVO DE CACAO.,cultivo_fruticola,FALSE,EL ORO,10,1298654.64,130506.33,1168148.3099999998,30083306.32,107121.95,43460.34,2024
743514,PRODUCTOS ALIMENTICIOS DOBLE A PROADA S.A.S.,C1030,"C1030.14 - FABRICACIÓN DE PRODUCTOS ALIMENTICIOS A PARTIR DE (UN SOLO COMPONENTE) FRUTAS, LEGUMBRES Y HORTALIZAS; INCLUSO SNACKS DE PLÁTANO (CHIFLES), YUCA, FRUTAS, ETCÉTERA, EXCEPTO PAPA.",procesamiento,FALSE,PICHINCHA,37,1298641.16,306596.78,992044.3799999999,2232711.85,91993.96,63199.51,2024
737700,AGRICOLAPESANTEZ AGUIRRE PESAGRO CIA.LTDA.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,EL ORO,38,1292899.69,81471.82,1211427.8699999999,737975.74,45364.31,37479.85,2024
319011,TROPICBAN S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,EL ORO,5,1290008,420961.22,869046.78,388325.11,3390.14,-692.54,2024
313514,WORLDBANANAS S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,EL ORO,21,1284047.41,-562931.63,1846979.04,22020500.29,-1331971.78,-1331971.78,2024
171092,CORPORACION LANCOFRUIT SA,C1030,"C1030.14 - FABRICACIÓN DE PRODUCTOS ALIMENTICIOS A PARTIR DE (UN SOLO COMPONENTE) FRUTAS, LEGUMBRES Y HORTALIZAS; INCLUSO SNACKS DE PLÁTANO (CHIFLES), YUCA, FRUTAS, ETCÉTERA, EXCEPTO PAPA.",procesamiento,FALSE,EL ORO,4,1281674,436160,845514,1188051,20837,13783,2024
368957,SANMIGUELFRUITEC S.A.S.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,1,1279117,495486.45,783630.55,105502.2,13370,13370,2024
719825,COMERCIALIZADORA MORENO&NARANJO S.A.,G4630,"G4630.92 - VENTA AL POR MAYOR DE AZÚCAR, CHOCOLATE Y PRODUCTOS DE CONFITERÍA.",comercio_mayorista,FALSE,GUAYAS,4,1271203.25,3092.49,1268110.76,1102703.85,3858.22,-79.09,2024
721486,LÁCTEOS MÉNDEZ LACMENDEZ CIA.LTDA.,G4630,"G4630.21 - VENTA AL POR MAYOR DE PRODUCTOS LÁCTEOS, INCLUIDO HELADOS, BOLOS, ETCÉTERA.",comercio_mayorista,FALSE,CAÑAR,13,1264864.57,312495.92,952368.6500000001,7183503.62,3749.26,1823.47,2024
342147,DILICAUSTRO CIA.LTDA.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,AZUAY,17,1260385.7,206047.31,1054338.39,2408046.78,34360.76,25461.32,2024
711067,INSUPLAT S.A.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,MANABI,4,1260182.31,375552.25,884630.06,3182356.18,0,42774.17,2024
717527,DISTRIBUIDORAELMAR CIA.LTDA.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,MANABI,38,1255820.72,272319.48,983501.24,5651162.86,100749.99,75562.49,2024
749373,PETMANAGEMENT S.A.S.,G4630,G4630.97 - VENTA AL POR MAYOR DE ALIMENTO PARA MASCOTAS (ANIMALES DOMÉSTICOS).,comercio_mayorista,FALSE,PICHINCHA,64,1254289.83,-76521.9,1330811.73,5757230.04,-107479.21,-107479.21,2024
741973,AGROENAJA S.A.S.,G4620,G4620.11 - VENTA AL POR MAYOR DE CEREALES (GRANOS) Y SEMILLAS.,comercio_mayorista,FALSE,GUAYAS,3,1254239.29,509134.33,745104.96,187712.21,-2096.73,-2096.73,2024
173878,BEBIDAS DURAN BEBIDURANSA S.A.,G4630,"G4630.95 - VENTA AL POR MAYOR DE BEBIDAS ALCOHÓLICAS, INCLUSO EL ENVASADO DE VINO A GRANEL SIN TRANSFORMACIÓN.",comercio_mayorista,FALSE,GUAYAS,4,1247102.87,651004.84,596098.0300000001,271872.25,0,-73003.15,2024
712934,HSBD S.A.,A0122,"A0122.09 - OTROS CULTIVOS DE FRUTAS TROPICALES Y SUBTROPICALES: PAPAYAS, BABACOS, CHAMBUROS, AGUACATES, HIGOS, ARAZÁ, GUAYABAS, GUANÁBANA, GUABA, CHIRIMOYA, NARANJILLAS, ZAPOTES, BOROJÓ, TAMARINDO, GRANADILLAS, DÁTILES, ETCÉTERA.",cultivo_fruticola,TRUE,LOS RIOS,26,1240978.07,742040.3,498937.77,860052.45,218863.75,208964.35,2024
83830,INMOBILIARIA TIERRA LINDA INTILI S A,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,GUAYAS,3,1233864.21,784876.41,448987.79999999993,948866.17,-101522.47,-111821.95,2024
743576,CHEETA FRUIT COMPANY S.A.S.,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,5,1231852.73,182850.11,1049002.62,7131270.87,232916.3,158102.92,2024
58464,INDUSTRIAL LINGESA S.A.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,FALSE,GUAYAS,24,1230695.51,239266.58,991428.93,2068313.59,-4976.89,-21533.66,2024
173796,KATEFLOWERS S.A.,G4620,G4620.15 - VENTA AL POR MAYOR DE FLORES Y PLANTAS.,comercio_mayorista,FALSE,PICHINCHA,114,1228114.4,996709.8,231404.59999999986,1379651.26,-9785.64,-17997.65,2024
723727,ROSTRATISDUO S.A.,G4630,"G4630.33 - VENTA AL POR MAYOR DE PESCADO, CRUSTÁCEOS, MOLUSCOS Y PRODUCTOS DE LA PESCA.",comercio_mayorista,FALSE,MANABI,4,1228035.4,102865.41,1125169.99,2958803.71,174373.9,142625.09,2024
156074,BETELFLOWER COMERCIALIZADORA PRODUCTORA DE FLORES CIA. LTDA.,G4620,G4620.15 - VENTA AL POR MAYOR DE FLORES Y PLANTAS.,comercio_mayorista,FALSE,PICHINCHA,41,1223742.08,441638.33,782103.75,1425225.54,26776.14,16221.52,2024
22871,DUSAL C LTDA,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,FALSE,GUAYAS,1,1219129.96,619457.22,599672.74,4569294.91,640133.74,590650.25,2024
29507,AGRIOFAN CIA.LTDA.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,FALSE,EL ORO,4,1216163.51,206028.62,1010134.89,532156.03,32737.55,27189.93,2024
114450,HUEVONOVA S.A.,G4630,G4630.22 - VENTA AL POR MAYOR DE HUEVOS Y PRODUCTOS A BASE DE HUEVOS.,comercio_mayorista,FALSE,GUAYAS,7,1215654.89,217951.05,997703.8399999999,3348915.93,27117.76,27117.76,2024
