ruc_norm,razon_social,ciiu_norm,actividad,segmento,foco_alto_valor,provincia,cant_empleados,activo_total,patrimonio,pasivo_total,ventas_netas,utilidad_operativa,utilidad_neta,anio,ROE_pct,ROA_pct,margen_neto_pct,margen_operativo_pct,activo_corriente,pasivo_corriente,razon_corriente,prueba_acida,endeudamiento_pct,rotacion_activos
38212,DIANA-FOOD ECUADOR S.A.,C1030,"C1030.16 - ELABORACIÓN DE COMPOTAS, MERMELADAS Y JALEAS, PURÉS Y OTRAS CONFITURAS DE FRUTAS O FRUTOS SECOS.",procesamiento,False,EL ORO,325,35202494.5,3502356.75,31700137.75,238910.42,0.0,-1921317.62,2024,-54.85785021757136,-5.457901910900093,-804.2000093591564,0.0,19361371.975,14265061.9875,1.357258173288397,0.8143549039730382,90.0508279320944,0.006786746888064993
47680,I.A.E. INDUSTRIA AGRICOLA EXPORTADORA INAEXPO C.A.,G4630,G4630.99 - VENTA AL POR MAYOR DE OTROS PRODUCTOS COMESTIBLES (ENLATADOS Y CONSERVAS).,comercio_mayorista,False,PICHINCHA,527,34915885.51,25953314.4,8962571.11,41856984.03,3206724.71,2284442.14,2024,8.80212101156529,6.542701428396339,5.457732306662803,7.6611461248657005,19203737.030500002,4033156.9995,4.761465282130286,2.856879169278171,25.669035681289245,1.198794858518254
134884,REPUBLICNEG S.A.S.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,GUAYAS,887,33965853.13,11000483.86,22965369.270000003,29304209.68,1840581.42,1359744.01,2024,12.360765465456536,4.003267648822928,4.640097872791361,6.280945434458139,18681219.2215,10334416.171500001,1.8076704974412205,1.0846022984647323,67.61310891295138,0.8627550018497061
49122,ECOFROZ S.A.,C1030,"C1030.11 - ELABORACIÓN DE ALIMENTOS COMPUESTOS (MEZCLA) PRINCIPALMENTE DE FRUTAS LEGUMBRES U HORTALIZAS, EXCEPTO PLATOS PREPARADOS EN FORMA CONGELADA O ENLATADA LISTOS PARA CONSUMIR.",procesamiento,False,PICHINCHA,1073,33185454.78,19618477.07,13566977.71,48693792.23,375129.72,274742.56,2024,1.4004275613224242,0.827900542033795,0.5642250221594622,0.7703851000721289,18252000.129,6105139.969500001,2.9896120678941296,1.793767240736478,40.88230159851978,1.467323336468074
170746,CULTIVO Y EXPORTACION ACUICOLA CEAEXPORT S.A.,G4630,G4630.32 - VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.,comercio_mayorista,False,GUAYAS,504,32012965.48,6207382.76,25805582.72,117252048.57,943067.55,675755.41,2024,10.886317730469711,2.1108803882045106,0.576327167193647,0.8043079515467779,17607131.014000002,11612512.224,1.5162206656377684,0.909732399382661,80.60978523255508,3.6626425203642206
712518,AGRICOLA JARAMILLO JARAGRI S.A.,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,LOS RIOS,187,31371817.91,1861109.98,29510707.93,9650365.22,586594.11,495804.93,2024,26.640281086451427,1.5804150445548726,5.137680478376755,6.078465390970974,17254499.850500003,13279818.568500001,1.2993023783794777,0.7795814270276866,94.06757368878277,0.3076125600271279
2295,EMPACADORA CRUSTAMAR S.A. ''EMPACRUSA'',G4630,G4630.32 - VENTA AL POR MAYOR DE CAMARÓN Y LANGOSTINOS.,comercio_mayorista,False,GUAYAS,394,31159956.4,2698279.01,28461677.39,56129728.44,-289811.22,-731551.43,2024,-27.111778555472664,-2.347729311970411,-1.3033225891730327,-0.51632393039242,17137976.02,12807754.8255,1.338093698192802,0.8028562189156812,91.340555887299,1.8013416873715522
68964,BANANA LIGHT (BANALIGHT) C.A.,C1030,"C1030.16 - ELABORACIÓN DE COMPOTAS, MERMELADAS Y JALEAS, PURÉS Y OTRAS CONFITURAS DE FRUTAS O FRUTOS SECOS.",procesamiento,False,GUAYAS,292,30674364.85,20415103.37,10259261.48,20668174.05,1480676.25,1079047.27,2024,5.285534197126135,3.5177493495843324,5.2208156723936625,7.164039969945966,16870900.6675,4616667.666,3.654345923954579,2.1926075543727475,33.445717719563476,0.673793056549629
3861,COMPANIA AGRICOLA GANADERA SA,G4630,G4630.11 - VENTA AL POR MAYOR DE BANANO Y PLÁTANO.,comercio_mayorista,False,GUAYAS,95,30390089.55,8370830.23,22019259.32,11711478.19,0.0,-405073.57,2024,-4.83910865314491,-1.3329133806385904,-3.4587740627470698,0.0,16714549.252500001,9908666.694,1.6868615898263255,1.0121169538957953,72.45539465677552,0.38537162487564963
9417,BANANERA LAS MERCEDES SA,A0122,A0122.01 - CULTIVO DE BANANOS Y PLÁTANOS.,cultivo_fruticola,False,GUAYAS,588,29646242.78,2478196.77,27168046.01,14123963.01,0.0,-1031920.12,2024,-41.63995904167045,-3.4807787538465274,-7.306165551901994,0.0,16305433.529000003,12225620.7045,1.3337100768223822,0.8002260460934293,91.64077286828453,0.4764166277262066
